,Sindex_Entry,Freq,Category
0,Jon,94,Organization
1,Jones,29,Organization
3,Lloyd Jones,6,Organization
5,Nathan Jones,4,Organization
6,Jon S. No,4,Organization
7,Harvey Jones,4,Organization
8,David Jones,4,Organization
12,Jon Stanhope,3,Organization
13,McDonald Jones Stadium,2,Organization
14,Lin Jong,2,Organization
16,Jonathan Wright 21,2,Organization
17,Charles Lloyd Jones,2,Organization
19,Jons,2,Organization
20,Luch Jonceski,1,Organization
21,David Jones Ballroom,1,Organization
23,Jon Jovanovic,1,Organization
24,Sir Charles Lloyd Jones,1,Organization
25,Patrick Jones,1,Organization
27,Jonus Pearson,1,Organization
28,N.Jones,1,Organization
30,David Jones Food Hall,1,Organization
31,Sydney's Lloyd Jones,1,Organization
33,Jonathan Giles (41,1,Organization
36,Jon Pertwee,1,Organization
38,David Jones Ltd,1,Organization
39,Zak Jones,1,Organization
40,Vince Jones,1,Organization
41,Davy Jones,1,Organization
